Venners_Code,Venners_Name,Venners_Size,Stock,Venners_Cost,Venners_Value,Stock_Id,Stock_Name,Suggested_Name
999004,Mulled Wine 1500ml Bottle,1500ml,2.00,0,0,306,Mulled Wine 1500ml Bottle,Mulled Wine 1500ml Bottle 1500ml [999004]
038856,Di Maria Rose Prosecco 200ml Bottle,BOTTLE,0,0,0,299,Di Maria Rose Prosecco 200ml Bottle,Di Maria Rose Prosecco Minature Bottle [038856]
999015,Disaronno Amaretto,700ml,1.80,16.61,29.9,36,Disaronno Amaretto,Disaronno Amaretto700ml [999015]
999023,Disaronno Velvet,700ml,0,0,0,267,Disaronno Velvet,Disaronno Velvet 700ml [999023]
098051,Aero Mint Chocolate,EACH,18.00,0.58,10.49,247,Aero Mint Chocolate,Aero Mint Chocolate [098051]
999021,Dairy Milk - Little Bars,EACH,0,0,0,285,Dairy Milk - Little Bars,Dairy Milk Little Bars [999021]
999017,Dairy Milk Bar,EACH,39.00,0.48,18.6,88,Dairy Milk Bar,Dairy Milk Bar [999017]
999024,Galaxy Caramel,EACH,0,0,0,276,Galaxy Caramel,Galaxy Caramel [999024]
098621,Galaxy Chocolate Bar,EACH,0,0,0,253,Galaxy Chocolate Bar,Galaxy Chocolate Bar [098621]
999026,Giant Fruit & Oat Cookie,EACH,0,0,0,287,Giant Fruit & Oat Cookie,Giant Fruit 0 Oat Cookie [999026]
999027,Giant Triple Choc Cookie,EACH,0,0,0,286,Giant Triple Choc Cookie,Giant Triple Choc Cookie [999027]
098561,Haribo Starmix,EACH,2.00,1.24,2.48,250,Haribo Starmix,Haribo Starmix [098561]
999054,Smith's Bacon Fries,EACH,0,0,0,289,Smith's Bacon Fries,Smith S S S Bacon Fries [999054]
999016,Diet Cola,CAN,17.00,0,0,224,Diet Cola,Diet Cola [999016]
999012,Fanta Fruit Twist,CAN,1.00,1.16,1.16,273,Fanta Fruit Twist,Fanta Fruit 0 Twist [999012]
999031,Koppaberg Mixed Fruit 0.0% 500ml Bottle,BOTTLE,0,0,0,270,Koppaberg Mixed Fruit 0.0% 500ml Bottle,Koppaberg Mixed Fruit 0% [999031]
999008,Lucozade Energy Orange,BOTTLE,24.00,0.92,21.98,229,Lucozade Energy Orange,Lucozade Energy Orange [999008]
999009,Lucozade Energy Original,BOTTLE,33.00,0.85,28.05,230,Lucozade Energy Original,Lucozade Energy Original [999009]
999032,Lucozade Sport - L& L,BOTTLE,0,0,0,291,Lucozade Sport - L& L,Lucozade Sport Lemon & Lime [999032]
999006,Lucozade Sport Orange,BOTTLE,12.00,1.08,13,231,Lucozade Sport Orange,Lucozade Sport Orange [999006]
999007,Lucozade Sport Raspberry,BOTTLE,12.00,1.28,15.31,232,Lucozade Sport Raspberry,Lucozade Sport Raspberry [999007]
077991,Natural Still Water,BOTTLE,0,0,0,19,Natural Still Water,Natural Still Water [077991]
999003,Oasis Citrus Fruits,BOTTLE,11.00,1.26,13.82,233,Oasis Citrus Fruits,Oasis Citrus Fruits [999003]
999002,Oasis Exotic Fruits Zero 500ml,BOTTLE,14.00,1,14,302,Oasis Exotic Fruits Zero 500ml,Oasis Exotic Fruits Zero 0 500ml 500ml [999002]
999037,Oasis Mango,BOTTLE,0,0,0,236,Oasis Mango,Oasis Mango [999037]
999038,Oasis Summer Fruits,BOTTLE,0,0,0,234,Oasis Summer Fruits,Oasis Summer Fruits [999038]
999039,Oasis Tropical,BOTTLE,0,0,0,235,Oasis Tropical,Oasis Tropical [999039]
999040,Oasis Zero Citrus Fruits,BOTTLE,0,0,0,237,Oasis Zero Citrus Fruits,Oasis Zero Citrus Fruits [999040]
999041,Oasis Zero Mango,BOTTLE,0,0,0,240,Oasis Zero Mango,Oasis Zero Mango [999041]
999042,Oasis Zero Summer Fruits,BOTTLE,0,0,0,238,Oasis Zero Summer Fruits,Oasis Zero Summer Fruits [999042]
999043,Oasis Zero Tropical,BOTTLE,0,0,0,239,Oasis Zero Tropical,Oasis Zero Tropical [999043]
999001,Old Mout Berries & Cherries 500ml Bottle,BOTTLE,1.00,1.49,1.49,271,Old Mout Berries & Cherries 500ml Bottle,Old Mout Berries Cherries 0 500ml Bottle 500ml [999001]
999044,Orange Tango,BOTTLE,0,0,0,226,Orange Tango,Orange Tango [999044]
999046,Pepsi Max Post Mix,BOTTLE,0,0,0,303,Pepsi Max Post Mix,Pepsi Max 500ml Bottle [999046]
077961,Ribena,BOTTLE,0,0,0,241,Ribena,Ribena [077961]
999049,Ribena Light Mango,BOTTLE,0,0,0,275,Ribena Light Mango,Ribena Light Mango [999049]
999050,Ribena Light Strawberry,BOTTLE,0,0,0,274,Ribena Light Strawberry,Ribena Light Strawberry [999050]
999051,Ribena Strawberry,BOTTLE,0,0,0,242,Ribena Strawberry,Ribena Strawberry [999051]
999055,Sparkling Water,BOTTLE,0,0,0,22,Sparkling Water,Sparkling Water [999055]
999057,Tango Orange Bottle,BOTTLE,0,0,0,227,Tango Orange Bottle,Tango Orange Bottle [999057]
999013,Fanta Lemon Bottle,BOTTLE,4.00,1.17,4.67,272,Fanta Lemon Bottle,Fanta Lemon Bottle [999013]
999014,Fanta Orange Bottle,BOTTLE,5.00,1.16,5.82,228,Fanta Orange Bottle,Fanta Orange Bottle [999014]
034851,Rochebin Pinot Noir 750ml Bottle,750ml,0,0,0,204,Rochebin Pinot Noir 750ml Bottle,Rochebin Pinot Noir 750ml [034851]
999061,Triple Crown Port,750ml,0,0,0,191,Triple Crown Port,Triple Crown Port 750ml [999061]
999064,Vilarnau 0.0% Sparkling White Wine 750ml Bottle,750ml,0,0,0,295,Vilarnau 0.0% Sparkling White Wine 750ml Bottle,Vilarnau 0% Sparkling White Wine 750ml [999064]
018731,Grand Marnier,700ml,0,0,0,42,Grand Marnier,Grand Marnier 700ml [018731]


999001,FRUIT SHOOTS – Apple & Blackcurrant,BOTTLE,0,5.55,10.14,221,Fruit Shoot - Apple & Blackcurrant,Fruit Shoot Apple Blackcurrant [999001]
999002,FRUIT SHOOTS – Orange,BOTTLE,0,5.55,10.14,17,Fruit Shoot - Orange,Fruit Shoot Orange [999002]
999003,NELSONS FLV GIN – Rhubarb & Custard,700ml,0,24.57,20.73,266,Nelsons Rhubarb & Custard Gin,Nelsons Rhubarb Custard Gin 700ml [999003]
999004,NELSONS FLV GIN – Temir,700ml,0,24.57,20.73,265,Nelsons Temir Gin,Nelsons Temir Gin 700ml [999004]
999005,NELSONS FLV RUM - CHOCOLATE,700ml,0,24.57,17.46,279,Nelsons Chocolate Rum,Nelsons Chocolate Rum 700ml [999005]
999006,NELSONS FLV RUM - SIGNATURE,700ml,0,24.57,17.46,280,Nelsons Signature Rum,Nelsons Signature Rum 700ml [999006]
999007,SOURZ - APPLE,700ml,0,7.88,7.42,184,Sourz Apple,Sourz Apple 700ml [999007]
999008,SOURZ - CHERRY,700ml,0,7.88,7.42,185,Sourz Cherry,Sourz Cherry 700ml [999008]
999009,BRITVIC J2O – Apple & Mango,BOTTLE,0,13.54,39.81,218,Britvic J2O Apple & Mango,Britvic J2O Apple Mango [999009]
999010,BRITVIC J2O – Apple & Raspberry,BOTTLE,0,13.54,39.81,217,Britvic J2O Apple & Raspberry,Britvic J2O Apple Raspberry [999010]
999011,BRITVIC J2O – Orange & Passion Fruit,BOTTLE,0,13.54,39.81,216,Britvic J2O Orange & Passion Fruit,Britvic J2O Orange Passion Fruit 0 [999011]
